Factor,Sorter,baseline,direct_transfer,l2,llr,ewc,kd
16,herdingspikes,0.742,0.774,0.768,0.8,0.806,0.784
16,mountainsort5,0.746,0.645,0.723,0.705,0.677,0.667
8,herdingspikes,0.723,0.732,0.752,0.736,0.758,0.77
8,mountainsort5,0.78,0.585,0.739,0.727,0.739,0.711
4,herdingspikes,0.744,0.64,0.677,0.624,0.618,0.592
4,mountainsort5,0.862,0.578,0.672,0.742,0.752,0.768
2,herdingspikes,0.696,0.424,0.508,0.488,0.692,0.443
2,mountainsort5,0.844,0.646,0.651,0.726,0.85,0.75
