Factor,baseline,direct_transfer,l2,llr,ewc,kd
16,0.744 ± 0.002,0.710 ± 0.065,0.745 ± 0.023,0.752 ± 0.048,0.742 ± 0.065,0.725 ± 0.059
8,0.751 ± 0.028,0.658 ± 0.074,0.746 ± 0.006,0.732 ± 0.004,0.749 ± 0.009,0.741 ± 0.030
4,0.803 ± 0.059,0.609 ± 0.031,0.675 ± 0.003,0.683 ± 0.059,0.685 ± 0.067,0.680 ± 0.088
2,0.770 ± 0.074,0.535 ± 0.111,0.580 ± 0.071,0.607 ± 0.119,0.771 ± 0.079,0.596 ± 0.154
