Factor,VAE,SpkRes
16,0.730 ± 0.028,0.732 ± 0.022
8,0.724 ± 0.046,0.742 ± 0.015
4,0.653 ± 0.008,0.783 ± 0.049
2,0.553 ± 0.085,0.732 ± 0.105
