Factor,baseline,direct_transfer,l2,llr,ewc,kd
16,0.500 ± 0.056,0.520 ± 0.042,0.491 ± 0.054,0.537 ± 0.070,0.455 ± 0.023,0.528 ± 0.034
8,0.517 ± 0.045,0.535 ± 0.074,0.499 ± 0.033,0.516 ± 0.044,0.440 ± 0.054,0.515 ± 0.032
4,0.575 ± 0.016,0.614 ± 0.011,0.545 ± 0.023,0.568 ± 0.006,0.407 ± 0.025,0.519 ± 0.040
2,0.495 ± 0.048,0.529 ± 0.071,0.463 ± 0.012,0.513 ± 0.034,0.290 ± 0.021,0.557 ± 0.057
