Factor,baseline,direct_transfer,l2,llr,ewc,kd
16,0.742 ± 0.025,0.733 ± 0.067,0.758 ± 0.042,0.733 ± 0.067,0.742 ± 0.025,0.758 ± 0.042
8,0.775 ± 0.025,0.725 ± 0.075,0.767 ± 0.083,0.767 ± 0.067,0.758 ± 0.008,0.808 ± 0.042
4,0.825 ± 0.042,0.625 ± 0.008,0.642 ± 0.008,0.700 ± 0.033,0.817 ± 0.033,0.750 ± 0.050
2,0.808 ± 0.092,0.508 ± 0.092,0.608 ± 0.142,0.725 ± 0.075,0.825 ± 0.092,0.842 ± 0.092
