Factor,Sorter,VAE,SpkRes
16,herdingspikes,0.38,0.4
16,mountainsort5,0.44,0.5
8,herdingspikes,0.36,0.42
8,mountainsort5,0.44,0.54
4,herdingspikes,0.38,0.52
4,mountainsort5,0.4,0.58
2,herdingspikes,0.28,0.42
2,mountainsort5,0.38,0.56
