Factor,Sorter,baseline,direct_transfer,l2,llr,ewc,kd
16,herdingspikes,0.467,0.467,0.477,0.462,0.427,0.467
16,mountainsort5,0.565,0.511,0.516,0.533,0.516,0.543
8,herdingspikes,0.462,0.467,0.462,0.457,0.462,0.462
8,mountainsort5,0.536,0.515,0.505,0.531,0.51,0.574
4,herdingspikes,0.559,0.587,0.568,0.574,0.559,0.559
4,mountainsort5,0.542,0.536,0.553,0.553,0.557,0.611
2,herdingspikes,0.437,0.474,0.511,0.495,0.409,0.5
2,mountainsort5,0.66,0.634,0.545,0.673,0.424,0.694
