Factor,VAE,SpkRes
16,0.562 ± 0.049,0.562 ± 0.062
8,0.571 ± 0.057,0.563 ± 0.024
4,0.549 ± 0.006,0.604 ± 0.000
2,0.503 ± 0.091,0.503 ± 0.026
