Factor,Sorter,baseline,direct_transfer,l2,llr,ewc,kd
16,herdingspikes,0.767,0.8,0.8,0.833,0.833,0.817
16,mountainsort5,0.733,0.667,0.717,0.717,0.7,0.683
8,herdingspikes,0.783,0.75,0.783,0.767,0.783,0.783
8,mountainsort5,0.767,0.633,0.733,0.733,0.733,0.717
4,herdingspikes,0.8,0.667,0.7,0.65,0.633,0.617
4,mountainsort5,0.883,0.617,0.7,0.767,0.783,0.8
2,herdingspikes,0.783,0.417,0.5,0.5,0.767,0.45
2,mountainsort5,0.9,0.683,0.683,0.75,0.9,0.75
