Factor,VAE,SpkRes
16,0.725 ± 0.058,0.742 ± 0.025
8,0.725 ± 0.058,0.775 ± 0.025
4,0.650 ± 0.017,0.825 ± 0.042
2,0.517 ± 0.100,0.808 ± 0.092
