Factor,Sorter,baseline,direct_transfer,l2,llr,ewc,kd
16,herdingspikes,0.525,0.525,0.553,0.512,0.487,0.525
16,mountainsort5,0.619,0.575,0.558,0.6,0.558,0.595
8,herdingspikes,0.512,0.525,0.512,0.5,0.512,0.512
8,mountainsort5,0.553,0.532,0.533,0.542,0.521,0.614
4,herdingspikes,0.605,0.643,0.6,0.614,0.605,0.605
4,mountainsort5,0.565,0.553,0.591,0.591,0.574,0.644
2,herdingspikes,0.457,0.489,0.545,0.511,0.474,0.522
2,mountainsort5,0.681,0.627,0.551,0.648,0.514,0.708
