Factor,VAE,SpkRes
16,0.738 ± 0.003,0.723 ± 0.019
8,0.724 ± 0.034,0.715 ± 0.048
4,0.658 ± 0.033,0.746 ± 0.054
2,0.596 ± 0.064,0.671 ± 0.112
