Factor,baseline,direct_transfer,l2,llr,ewc,kd
16,0.732 ± 0.022,0.721 ± 0.060,0.731 ± 0.043,0.718 ± 0.062,0.738 ± 0.016,0.752 ± 0.029
8,0.742 ± 0.015,0.684 ± 0.102,0.736 ± 0.100,0.733 ± 0.087,0.726 ± 0.024,0.801 ± 0.028
4,0.783 ± 0.049,0.600 ± 0.003,0.611 ± 0.011,0.669 ± 0.035,0.778 ± 0.044,0.724 ± 0.057
2,0.732 ± 0.105,0.511 ± 0.065,0.591 ± 0.129,0.690 ± 0.066,0.741 ± 0.099,0.802 ± 0.094
