Factor,baseline,direct_transfer,l2,llr,ewc,kd
16,0.470 ± 0.050,0.440 ± 0.020,0.450 ± 0.030,0.450 ± 0.030,0.430 ± 0.050,0.460 ± 0.040
8,0.470 ± 0.050,0.460 ± 0.040,0.450 ± 0.030,0.470 ± 0.050,0.460 ± 0.040,0.480 ± 0.060
4,0.520 ± 0.000,0.530 ± 0.010,0.530 ± 0.010,0.530 ± 0.010,0.530 ± 0.010,0.550 ± 0.030
2,0.530 ± 0.110,0.550 ± 0.090,0.510 ± 0.030,0.590 ± 0.110,0.360 ± 0.000,0.580 ± 0.100
