Factor,Sorter,baseline,direct_transfer,l2,llr,ewc,kd
16,herdingspikes,0.742,0.762,0.75,0.762,0.742,0.762
16,mountainsort5,0.705,0.656,0.662,0.645,0.729,0.729
8,herdingspikes,0.667,0.774,0.823,0.806,0.648,0.81
8,mountainsort5,0.763,0.527,0.594,0.6,0.75,0.78
4,herdingspikes,0.691,0.576,0.613,0.606,0.691,0.636
4,mountainsort5,0.8,0.578,0.557,0.677,0.797,0.762
2,herdingspikes,0.558,0.481,0.459,0.6,0.571,0.672
2,mountainsort5,0.783,0.554,0.692,0.716,0.775,0.862
