Factor,baseline,direct_transfer,l2,llr,ewc,kd
16,0.739 ± 0.020,0.688 ± 0.062,0.734 ± 0.005,0.731 ± 0.038,0.719 ± 0.062,0.702 ± 0.052
8,0.732 ± 0.061,0.629 ± 0.086,0.734 ± 0.011,0.715 ± 0.007,0.740 ± 0.006,0.731 ± 0.027
4,0.768 ± 0.073,0.580 ± 0.036,0.651 ± 0.005,0.659 ± 0.059,0.663 ± 0.060,0.654 ± 0.085
2,0.710 ± 0.084,0.521 ± 0.090,0.569 ± 0.052,0.590 ± 0.113,0.718 ± 0.088,0.593 ± 0.157
