Factor,baseline,direct_transfer,l2,llr,ewc,kd
16,0.562 ± 0.062,0.597 ± 0.044,0.573 ± 0.059,0.609 ± 0.084,0.526 ± 0.026,0.603 ± 0.038
8,0.563 ± 0.024,0.589 ± 0.077,0.547 ± 0.022,0.572 ± 0.033,0.506 ± 0.058,0.557 ± 0.021
4,0.604 ± 0.000,0.652 ± 0.001,0.586 ± 0.014,0.600 ± 0.013,0.468 ± 0.032,0.552 ± 0.052
2,0.503 ± 0.026,0.539 ± 0.061,0.479 ± 0.009,0.509 ± 0.009,0.329 ± 0.021,0.565 ± 0.043
