Factor,baseline,direct_transfer,l2,llr,ewc,kd
16,0.750 ± 0.017,0.733 ± 0.067,0.758 ± 0.042,0.775 ± 0.058,0.767 ± 0.067,0.750 ± 0.067
8,0.775 ± 0.008,0.692 ± 0.058,0.758 ± 0.025,0.750 ± 0.017,0.758 ± 0.025,0.750 ± 0.033
4,0.842 ± 0.042,0.642 ± 0.025,0.700 ± 0.000,0.708 ± 0.058,0.708 ± 0.075,0.708 ± 0.092
2,0.842 ± 0.058,0.550 ± 0.133,0.592 ± 0.092,0.625 ± 0.125,0.833 ± 0.067,0.600 ± 0.150
