Factor,Sorter,baseline,direct_transfer,l2,llr,ewc,kd
16,herdingspikes,0.719,0.75,0.738,0.769,0.781,0.754
16,mountainsort5,0.759,0.625,0.729,0.694,0.656,0.651
8,herdingspikes,0.671,0.714,0.723,0.708,0.734,0.758
8,mountainsort5,0.793,0.543,0.746,0.721,0.746,0.705
4,herdingspikes,0.696,0.615,0.656,0.6,0.603,0.569
4,mountainsort5,0.841,0.544,0.646,0.719,0.723,0.738
2,herdingspikes,0.627,0.431,0.517,0.476,0.63,0.435
2,mountainsort5,0.794,0.612,0.621,0.703,0.806,0.75
