Factor,Sorter,baseline,direct_transfer,l2,llr,ewc,kd
16,herdingspikes,0.4,0.42,0.38,0.42,0.38,0.44
16,mountainsort5,0.5,0.5,0.48,0.54,0.42,0.5
8,herdingspikes,0.42,0.42,0.42,0.42,0.34,0.44
8,mountainsort5,0.54,0.56,0.5,0.52,0.44,0.52
4,herdingspikes,0.52,0.56,0.48,0.54,0.38,0.52
4,mountainsort5,0.58,0.6,0.54,0.54,0.34,0.46
2,herdingspikes,0.42,0.44,0.42,0.46,0.24,0.48
2,mountainsort5,0.56,0.6,0.48,0.58,0.28,0.62
