Factor,baseline,direct_transfer,l2,llr,ewc,kd
16,0.572 ± 0.047,0.550 ± 0.025,0.555 ± 0.003,0.556 ± 0.044,0.523 ± 0.035,0.560 ± 0.035
8,0.533 ± 0.020,0.528 ± 0.003,0.523 ± 0.011,0.521 ± 0.021,0.517 ± 0.004,0.563 ± 0.051
4,0.585 ± 0.020,0.598 ± 0.045,0.595 ± 0.005,0.602 ± 0.011,0.590 ± 0.015,0.625 ± 0.020
2,0.569 ± 0.112,0.558 ± 0.069,0.548 ± 0.003,0.579 ± 0.069,0.494 ± 0.020,0.615 ± 0.093
