Factor,Sorter,baseline,direct_transfer,l2,llr,ewc,kd
16,herdingspikes,0.5,0.553,0.514,0.525,0.5,0.564
16,mountainsort5,0.625,0.641,0.632,0.692,0.553,0.641
8,herdingspikes,0.538,0.512,0.525,0.538,0.447,0.537
8,mountainsort5,0.587,0.667,0.568,0.605,0.564,0.578
4,herdingspikes,0.605,0.651,0.571,0.614,0.5,0.605
4,mountainsort5,0.604,0.652,0.6,0.587,0.436,0.5
2,herdingspikes,0.477,0.478,0.488,0.5,0.308,0.522
2,mountainsort5,0.528,0.6,0.471,0.518,0.35,0.608
