Factor,baseline,direct_transfer,l2,llr,ewc,kd
16,0.516 ± 0.049,0.489 ± 0.022,0.497 ± 0.019,0.497 ± 0.036,0.472 ± 0.045,0.505 ± 0.038
8,0.499 ± 0.037,0.491 ± 0.024,0.483 ± 0.022,0.494 ± 0.037,0.486 ± 0.024,0.518 ± 0.056
4,0.550 ± 0.009,0.562 ± 0.025,0.561 ± 0.008,0.564 ± 0.011,0.558 ± 0.001,0.585 ± 0.026
2,0.549 ± 0.111,0.554 ± 0.080,0.528 ± 0.017,0.584 ± 0.089,0.416 ± 0.007,0.597 ± 0.097
