Factor,VAE,SpkRes
16,0.410 ± 0.030,0.450 ± 0.050
8,0.400 ± 0.040,0.480 ± 0.060
4,0.390 ± 0.010,0.550 ± 0.030
2,0.330 ± 0.050,0.490 ± 0.070
