Factor,Sorter,VAE,SpkRes
16,herdingspikes,0.514,0.5
16,mountainsort5,0.611,0.625
8,herdingspikes,0.514,0.538
8,mountainsort5,0.629,0.587
4,herdingspikes,0.543,0.605
4,mountainsort5,0.556,0.604
2,herdingspikes,0.412,0.477
2,mountainsort5,0.594,0.528
