Factor,baseline,direct_transfer,l2,llr,ewc,kd
16,0.723 ± 0.019,0.709 ± 0.053,0.706 ± 0.044,0.704 ± 0.058,0.735 ± 0.007,0.745 ± 0.017
8,0.715 ± 0.048,0.651 ± 0.124,0.708 ± 0.114,0.703 ± 0.103,0.699 ± 0.051,0.795 ± 0.015
4,0.746 ± 0.054,0.577 ± 0.001,0.585 ± 0.028,0.641 ± 0.035,0.744 ± 0.053,0.699 ± 0.063
2,0.671 ± 0.112,0.517 ± 0.037,0.576 ± 0.117,0.658 ± 0.058,0.673 ± 0.102,0.767 ± 0.095
