Factor,Sorter,baseline,direct_transfer,l2,llr,ewc,kd
16,herdingspikes,0.754,0.78,0.774,0.78,0.754,0.78
16,mountainsort5,0.711,0.661,0.688,0.656,0.723,0.723
8,herdingspikes,0.727,0.787,0.836,0.82,0.702,0.829
8,mountainsort5,0.756,0.582,0.636,0.646,0.75,0.773
4,herdingspikes,0.734,0.603,0.623,0.635,0.734,0.667
4,mountainsort5,0.832,0.597,0.6,0.704,0.823,0.78
2,herdingspikes,0.628,0.446,0.463,0.624,0.642,0.709
2,mountainsort5,0.837,0.576,0.72,0.756,0.84,0.896
